Institutional code,Name of Organisation,Country,City,coordinates
SK BRATISL03,EKONOMICKÁ UNIVERZITA V BRATISLAVE,SK,Bratislava 5,"(48.1257816, 17.1332155)"
SK BRATISL04,VYSOKA SKOLA VYTVARNYCH UMENI V BRATISLAVE,SK,BRATISLAVA,"(48.14174939999999, 17.1074531)"
SK BRATISL05,VYSOKÁ ŠKOLA MÚZICKÝCH UMENÍ V BRATISLAVE,SK,BRATISLAVA,"(48.1425045, 17.1064105)"
SK BRATISL06,AKADEMIA POLICAJNEHO ZBORU V BRATISLAVE,SK,BRATISLAVA,"(48.2017461, 17.1667846)"
SK BRATISL08,"BRATISLAVSKÁ AKADEMICKÁ SPOLOČNOST' - PANEURÓPSKA VYSOKÁ ŠKOLA, N.O.",SK,Bratislava,"(48.15911130000001, 17.1635265)"
SK BRATISL11,SLOVENSKÁ ZDRAVOTNÍCKA UNIVERZITA V BRATISLAVE,SK,BRATISLAVA,"(48.1682796, 17.0884191)"
SK BRATISL12,BRATISLAVSKA MEDZINARODNA SKOLA LIBERALNYCH STUDII (BISLA),SK,Bratislava,"(48.14502599999999, 17.1199472)"
SK BRATISL13,VYSOKÁ ŠKOLA EKONÓMIE A MANAŽMENTU VEREJNEJ SPRÁVY V BRATISLAVE,SK,BRATISLAVA,"(48.12622690000001, 17.1225919)"
SK DUBNICA01,DUBNICKÝ TECHNOLOGICKÝ INŠTITÚT V DUBNICI NAD VÁHOM,SK,DUBNICA NAD VÁHOM,"(48.9602555, 18.1604004)"
SK KOMARNO01,UNIVERZITA J. SELYEHO,SK,KOMÁRNO,"(47.7543599, 18.1326957)"
SK KOSICE01,UNIVERZITA VETERINÁRSKEHO LEKÁRSTVA V KOŠICIACH,SK,KOSICE,"(48.738437, 21.2460466)"
SK KOSICE02,UNIVERZITA PAVLA JOZEFA SAFARIKA  V KOSICIACH,SK,Kosice,"(48.7191676, 21.2512389)"
SK KOSICE03,Technicka univerzita v Kosiciach,SK,Kosice,"(48.73046979999999, 21.2455912)"
SK KOSICE04 ,VYSOKÁ ŠKOLA BEZPEČNOSTNÉHO MANAŽÉRSTVA V KOŠICIACH ,SK,KOŠICE,"(48.7108485, 21.2633962)"
